Координати,Вид кофа,Брой,Състояние,
42.7084520018077,23.3481954692169,1100,2,,
42.7079159439028,23.3482607099605,1100,2,,
42.7080797955767,23.3491601397268,1100,2,,
42.7088006784521,23.3505507757199,1100,2,,
42.7143764260908,23.3746139666447,1100,2,,
42.7068356707677,23.3529123463608,1100,2,,
42.7157310573474,23.3788518352922,1100,2,,
42.7061110549306,23.3526096977655,1100,3,,
42.7148553411007,23.378524264872,1100,2,,
42.7057045915425,23.3524573720849,1100,1,,
42.7068927953017,23.3461441233715,1100,2,,
42.7066331679682,23.3436836568585,1100,2,,
42.7154225761834,23.3757406182468,1100,5,,
42.7075352293464,23.3525889937268,1100,2,,
42.7160910926369,23.3768052917086,1100,3,,
42.7069936285264,23.3520880712713,1100,3,,
42.7073695035333,23.3572576081518,1100,1,,
42.7074126637435,23.3540592213338,1100,3,ДОБРО,
42.7003136167826,23.3722683061459,1100,3,,
42.7080256815226,23.3433990648957,1100,3,,
42.7080662844133,23.3443650579753,1100,2,,
42.7074781525965,23.3461721940496,1100,2,,
42.7072297837769,23.3443589835348,1100,2,,
42.7082275609487,23.3856332156583,1100,2,ДОБРО,
42.7068425526866,23.3611676484325,1100,2,,
42.7076844221086,23.3632533218448,1100,1,,
42.707708862636,23.359199387371,1100,2,ДОБРО,
42.712724846037,23.384463409164,1100,1,,
42.7101284298818,23.350244978383,1100,4,,
42.7108884803309,23.350970943323,1100,2,,
42.7111820727137,23.3515514350753,1100,1,,
42.7111723705724,23.3534504718166,1100,2,ДОБРО,
42.7104797381989,23.3552515348486,1100,1,,
42.7104383127725,23.3527188393699,1100,3,,
42.7101308991174,23.3462128032933,1100,1,,
42.7097257007814,23.3533408834462,1100,2,,
42.7095592058089,23.3537357893318,1100,2,,
42.7094078339599,23.3458277374742,1100,2,,
42.7098053573084,23.3611511816592,1100,4,ДОБРО,
42.7079657619584,23.3800212619338,1100,2,ДОБРО,
42.7098273007964,23.3579070795883,1100,2,,
42.7105252992265,23.3556577029289,1100,1,,
